epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.856,5.07445,8.08642,4.99263,0.00182,0.09776,0.00132,0.00035,3.99788,7.95159,5.52614,0.00017148,0.00017148,0.00017148
2,64.0445,3.78479,6.91855,3.32494,0.01642,0.48571,0.06685,0.02564,3.54083,7.16726,3.84047,0.000350176,0.000350176,0.000350176
3,69.7056,3.5509,5.65115,2.83095,0.0231,0.54179,0.20819,0.10995,3.66249,6.1219,2.92652,0.000521516,0.000521516,0.000521516
4,75.2045,3.46514,4.72163,2.7462,0.66535,0.1529,0.19612,0.08379,4.00979,5.65841,3.35176,0.0006855,0.0006855,0.0006855
5,82.3507,3.42225,4.39334,2.76371,0.83433,0.15475,0.29524,0.15512,3.29158,4.72011,2.74015,0.000842127,0.000842127,0.000842127
6,88.0034,3.20819,3.9641,2.60467,0.74265,0.21069,0.29826,0.1436,3.19481,4.17509,2.70551,0.000991397,0.000991397,0.000991397
7,96.0008,3.33517,4.01403,2.73177,0.69233,0.34425,0.35397,0.17905,3.34493,4.02748,2.99711,0.00113331,0.00113331,0.00113331
8,101.26,3.39012,4.07908,2.77026,0.62985,0.27292,0.2517,0.11755,3.66686,4.59163,3.21841,0.00123094,0.00123094,0.00123094
9,108.165,3.28789,3.74202,2.65232,0.71079,0.36466,0.4486,0.24213,3.04927,3.61667,2.60601,0.00120265,0.00120265,0.00120265
10,113.689,3.18551,3.52786,2.58197,0.77325,0.42341,0.48463,0.29908,2.82377,3.17772,2.51384,0.00117435,0.00117435,0.00117435
11,120.226,3.0054,3.33198,2.51631,0.76527,0.49544,0.56109,0.34511,2.62678,3.04438,2.44273,0.00114606,0.00114606,0.00114606
12,125.814,2.95153,3.19811,2.48141,0.56193,0.58083,0.5766,0.32278,3.22151,3.03216,2.74753,0.00111776,0.00111776,0.00111776
13,131.679,3.26488,3.2713,2.64573,0.59502,0.5705,0.57115,0.34035,2.88231,2.76208,2.5655,0.00108947,0.00108947,0.00108947
14,138.184,3.22178,3.28119,2.59012,0.62291,0.49781,0.56642,0.33133,2.8956,2.81276,2.56233,0.00106118,0.00106118,0.00106118
15,143.39,2.97122,3.12962,2.48799,0.5119,0.62491,0.57317,0.3583,2.82869,2.54326,2.52189,0.00103288,0.00103288,0.00103288
16,150.268,2.84067,2.92442,2.42544,0.78899,0.52962,0.58956,0.38366,2.63698,2.58466,2.42123,0.00100459,0.00100459,0.00100459
17,155.787,2.8299,2.81872,2.40796,0.57907,0.65982,0.62773,0.41604,2.53827,2.44576,2.37566,0.000976293,0.000976293,0.000976293
18,162.806,2.94354,2.8832,2.46517,0.58646,0.63132,0.6252,0.39328,2.67564,2.45067,2.44479,0.000947999,0.000947999,0.000947999
19,168.165,2.83747,2.81212,2.42358,0.53859,0.66,0.61537,0.3939,2.61396,2.44034,2.42385,0.000919704,0.000919704,0.000919704
20,173.466,2.76329,2.73366,2.41791,0.59552,0.62059,0.64995,0.4034,2.74964,2.48867,2.47401,0.00089141,0.00089141,0.00089141
21,180.329,2.86453,2.73301,2.39756,0.51391,0.62239,0.62608,0.38993,2.88689,2.30719,2.51922,0.000863116,0.000863116,0.000863116
22,185.563,2.83019,2.67282,2.39744,0.6397,0.63636,0.64821,0.40993,2.79204,2.23773,2.52085,0.000834822,0.000834822,0.000834822
